question_id,context_precision,context_recall,faithfulness,answer_relevancy,reasoning
1,1.0,1.0,1.0,0.9,檢索正確，回答完整但缺少遇假日順延說明
2,1.0,1.0,1.0,1.0,精確命中資安第4條，完整回答
3,1.0,1.0,1.0,1.0,正確回答折發工資
4,1.0,1.0,1.0,0.9,正確但未提及佐證要求
5,1.0,1.0,1.0,1.0,正確回答兩家報價單
6,1.0,1.0,1.0,1.0,正確回答75%
7,1.0,1.0,1.0,1.0,正確回答溫濕度
8,1.0,1.0,1.0,1.0,正確回答2000元
9,1.0,1.0,0.4,0.3,錯誤推論不到半年不能請
10,1.0,1.0,0.9,1.0,正確但多加無關說明
11,1.0,1.0,1.0,0.8,正確但過於簡短
12,1.0,1.0,1.0,1.0,正確回答500元
13,0.3,0.3,0.0,0.0,檢索錯誤條文，回答完全錯誤
14,1.0,1.0,1.0,1.0,正確回答每月第一個週五
15,1.0,1.0,1.0,1.0,正確回答記大過免職
16,1.0,1.0,1.0,1.0,正確回答資安測驗
17,0.7,0.5,0.5,0.4,未提到生理假
18,0.5,0.5,0.6,0.7,結論正確但推理不精確
19,1.0,1.0,1.0,1.0,正確回答3分鐘鎖定
20,0.3,0.2,0.5,0.3,檢索錯誤，回答不正確
21,0.8,0.8,0.8,0.7,方向正確但缺零用金說明
22,0.7,0.7,0.5,0.3,錯誤判斷為規章未說明
23,0.3,0.2,0.3,0.3,用高鐵規定推論飛機票
24,0.5,0.5,0.6,0.5,方向正確但缺滅火系統說明
25,1.0,1.0,0.8,0.8,複合問題拆分正確但多加不相關說明
26,0.2,0.1,0.0,0.0,檢索到事假而非喪假條文，回答完全錯誤，用事假替代喪假
27,0.1,0.1,0.0,0.0,檢索到請假條文而非離職預告期，回答完全錯誤
28,0.8,0.7,0.8,0.8,檢索到差旅交通規範，回答方向正確（不會被打槍）
29,0.5,0.4,0.5,0.4,檢索到膳雜費而非零用金規定，回答不夠精確
30,0.5,0.4,0.6,0.4,檢索到新人訓但未找到補測規定，回答規章未說明部分合理
31,0.8,0.7,0.8,0.8,檢索到薪資發放條文，回答不能拆分方向正確
32,0.6,0.5,0.7,0.7,檢索到WFH辦公場域要求，回答不會搬設備方向正確但引用條文不夠直接
33,1.0,1.0,1.0,1.0,正確檢索考勤第4條，完整回答寬限期和扣薪規定
34,1.0,1.0,1.0,0.9,正確回答週一禁止WFH，但語氣過於絕對（規章允許總經理特簽）
35,1.0,1.0,1.0,1.0,完整正確回答禁止直接commit到main，需PR和Code Review
36,1.0,1.0,1.0,1.0,完整引用差旅第5條颱風放寬規定
37,1.0,1.0,1.0,1.0,複合問題拆分後完整回答15分鐘到場+檢查項目
38,0.8,0.7,0.7,0.6,提到不予調薪正確，但缺少PIP計畫和可能終止聘僱的說明
39,1.0,1.0,1.0,1.0,複合問題拆分後完整回答三個月休畢+自動換算加班費
40,1.0,1.0,1.0,0.9,正確引用教育訓練第6條，但未明確提到退回補助款
41,1.0,1.0,0.9,0.8,複合問題正確回答需診斷證明，但缺少未提供改列事假的說明
42,1.0,1.0,1.0,1.0,完整正確回答熱插拔+禁止關機
43,1.0,1.0,1.0,1.0,正確回答需兩家報價單
44,1.0,1.0,1.0,1.0,正確引用WFH第6條斷網超過1小時需請假
45,1.0,1.0,1.0,1.0,正確回答10個工作日內核銷+逾期扣薪
46,1.0,1.0,1.0,1.0,正確回答禁止update字眼+需動詞開頭
47,1.0,1.0,0.8,0.7,正確提到7個工作日內申訴，但未明確回答一個月後不行
48,1.0,1.0,1.0,1.0,正確回答機房維運者不得申請WFH
49,1.0,1.0,1.0,1.0,正確回答需17:00前申請+未核准不算加班
50,1.0,1.0,0.0,0.0,25萬>20萬應簽核到CEO，模型錯誤選了副總經理層級
51,1.0,1.0,1.0,0.9,正確回答禁止公共WiFi，但未完整提到VPN
52,1.0,1.0,1.0,1.0,正確解釋32度降載保護機制
53,1.0,1.0,1.0,1.0,正確回答Launch Week凍結假期
54,0.5,0.4,0.3,0.2,檢索到事假條文但未找到績效影響規定，回答混亂不正確
55,0.6,0.5,0.6,0.6,檢索到VPN規範但未找到私人設備禁令，回答方向正確但引用不夠精確
56,0.7,0.6,0.7,0.5,提到80%費用補助正確，但未提到學習激勵金和記功
57,0.4,0.3,0.5,0.5,檢索到高溫應變而非廠商進出規定，回答結論勉強正確但引用條文錯誤
58,0.1,0.1,0.0,0.0,檢索到績效考核而非緊急bug處理SOP，回答完全錯誤
59,0.7,0.7,0.7,0.8,檢索到病假條文，回答可以改成病假方向正確
60,0.5,0.4,0.4,0.3,未找到緊急採購程序，回答不夠精確
61,0.3,0.2,0.2,0.1,檢索到膳雜費而非交際費，回答錯誤（標準答案是交際費1500元）
62,0.8,0.7,0.6,0.5,檢索到360度考核但回答25%不精確（標準答案20%），且混淆了維度權重
63,0.8,0.7,0.6,0.4,檢索到曠工條文但回答過於簡化，未提到2小時內聯繫主管可改為病假
64,1.0,1.0,1.0,1.0,正確回答8萬元需副總經理核准
65,0.1,0.1,0.0,0.0,檢索到git分支規範而非資料庫匿名化規定，回答完全錯誤
66,0.4,0.3,0.4,0.3,檢索到住宿和交通規範但未找到私人行程規定，回答不精確
67,1.0,1.0,0.9,0.9,正確回答不會自動調漲，提到4月底調薪機制
68,0.7,0.6,0.8,0.8,回答不能用個人Google Drive方向正確，但引用VPN條文不是最直接的
69,0.6,0.5,0.0,0.0,檢索到加班條文但嚴重曲解，將主管call回處理當機誤判為自行滯留閒晃，回答完全錯誤
70,0.8,0.7,0.7,0.7,正確提到外部培訓補助需主管核定，但多加無關的新人訓和Code Review
71,0.2,0.1,0.3,0.2,檢索到git分支規範而非資安機密條文，推理邏輯不通
72,0.6,0.6,0.8,0.7,結論正確（沒有旅遊補助和下午茶津貼），但第一段引用重複領取禁令不相關
73,0.7,0.7,0.8,0.7,正確回答依法累加，合理回應
74,1.0,1.0,0.9,0.8,正確檢索到資安第5條挖礦禁令，回答合理
75,0.5,0.4,0.5,0.4,只找到高鐵規範推論飛機，標準答案是規章未提及飛機報銷
76,0.6,0.5,0.5,0.5,檢索到WFH寵物干擾條文，結論方向可接受但推論不夠精確
77,0.8,0.7,0.6,0.5,檢索到正確條文但錯誤聲稱試用期標準不同，實際規章未區分
78,0.8,0.7,0.8,0.8,正確引用加班費條文，回答按法定加班費合理
79,0.3,0.2,0.4,0.3,檢索到VPN規範而非設備遭竊處理，回答沒有依據
80,0.4,0.3,0.3,0.2,檢索到網路限制而非設備配發條文，錯誤回答公司不會配發測試機
81,0.5,0.5,0.8,0.8,正確回答規章未提到內推獎金
82,0.8,0.8,0.9,0.9,正確回答規章未明定具體月數，彈性發放
83,0.4,0.4,0.8,0.8,檢索不精確但正確回答規章未說明
84,1.0,1.0,1.0,1.0,正確檢索工時第2條，回答固定午休無彈性工時
85,0.4,0.4,0.8,0.8,檢索不精確但正確回答規章未說明
86,0.4,0.3,0.8,0.8,檢索不精確但正確回答規章未說明
87,0.6,0.6,0.9,0.9,正確回答規章未限制手機品牌
88,0.5,0.5,0.8,0.8,正確回答規章未提到按摩服務
89,0.3,0.3,0.8,0.7,正確回答規章未說明競業條款
90,0.9,0.9,1.0,1.0,正確回答年終獎金為彈性發放非固定保障
91,0.4,0.3,0.3,0.4,檢索不相關條文，回答不能但規章實際上未禁止
92,0.5,0.5,0.7,0.6,複合問題拆分，回答方向合理但高溫SOP不等於地震應變
93,0.5,0.5,0.9,0.9,正確回答規章未提到分紅配股ESOP
94,0.4,0.4,0.8,0.7,正確回答無相關規定
95,0.3,0.3,0.7,0.6,正確結論但引用太多不相關條文
96,0.6,0.6,0.8,0.8,正確回答無語言津貼
97,0.5,0.5,0.8,0.8,正確回答規章未說明育兒津貼
98,0.8,0.8,0.9,0.9,正確回答需繳回資產，不能折舊買回
99,0.3,0.2,0.5,0.4,檢索不相關的高溫SOP，回答模糊
100,0.5,0.4,0.5,0.4,檢索到病假但未提到職災/公傷病假區別
