question_id,context_precision,context_recall,faithfulness,answer_relevancy,reasoning
1,1.0,1.0,1.0,0.9,正確回答次月5日，缺假日順延
2,1.0,1.0,1.0,1.0,完整正確回答密碼要求
3,1.0,1.0,1.0,1.0,正確回答折發工資
4,1.0,1.0,1.0,0.9,正確但未提及佐證
5,1.0,1.0,1.0,1.0,正確回答兩家報價
6,1.0,1.0,1.0,1.0,正確回答75%
7,1.0,1.0,1.0,1.0,正確回答溫濕度
8,1.0,1.0,1.0,1.0,正確回答2000元
9,1.0,1.0,0.7,0.6,檢索正確但回答模糊，未明確說不到半年不能請
10,1.0,1.0,0.9,1.0,正確回答800元免發票
11,1.0,1.0,1.0,0.8,正確但過於簡短
12,1.0,1.0,1.0,1.0,正確回答500元
13,0.3,0.3,0.0,0.0,回答凍結假期而非慰勞假，完全錯誤
14,1.0,1.0,1.0,1.0,正確回答每月第一個週五
15,1.0,1.0,1.0,1.0,正確回答記大過免職
16,1.0,1.0,1.0,1.0,正確回答資安測驗
17,0.7,0.5,0.5,0.4,未提到生理假
18,0.5,0.5,0.6,0.7,結論正確但推理不精確
19,1.0,1.0,1.0,1.0,正確回答3分鐘鎖定
20,0.3,0.2,0.5,0.3,檢索錯誤條文
21,0.8,0.8,0.8,0.7,方向正確但缺零用金
22,0.7,0.7,0.5,0.3,錯誤判斷為規章未說明
23,0.3,0.2,0.3,0.3,用高鐵規定推論飛機
24,0.5,0.5,0.6,0.5,方向正確但缺滅火系統
25,1.0,1.0,0.8,0.8,正確回答8日婚假但多加產假
26,0.2,0.1,0.0,0.0,檢索到事假而非喪假，回答錯誤
27,0.1,0.1,0.0,0.0,檢索錯誤
28,0.8,0.7,0.8,0.8,方向正確
29,0.5,0.4,0.5,0.4,不夠精確
30,0.5,0.4,0.6,0.4,回答規章未說明部分合理
31,0.8,0.7,0.8,0.8,方向正確
32,0.6,0.5,0.7,0.7,方向正確
33,1.0,1.0,1.0,1.0,正確回答遲到寬限期
34,1.0,1.0,1.0,0.9,正確回答週一禁止WFH
35,1.0,1.0,1.0,1.0,正確回答禁止直接commit
36,1.0,1.0,1.0,1.0,正確引用颱風規定
37,1.0,1.0,1.0,1.0,正確回答15分鐘+檢查項目
38,0.8,0.7,0.7,0.6,提到不予調薪但缺PIP
39,1.0,1.0,1.0,1.0,正確回答三個月+加班費
40,1.0,1.0,1.0,0.9,正確引用培訓承諾
41,1.0,1.0,0.9,0.8,正確但缺改列事假說明
42,1.0,1.0,1.0,1.0,正確回答熱插拔
43,1.0,1.0,1.0,1.0,正確回答需兩家報價
44,1.0,1.0,1.0,1.0,正確回答斷網需請假
45,1.0,1.0,1.0,1.0,正確回答逾期扣薪
46,1.0,1.0,1.0,1.0,正確回答commit規範
47,1.0,1.0,0.8,0.7,提到7日但未明確回答一個月後不行
48,1.0,1.0,1.0,1.0,正確回答SRE不得WFH
49,1.0,1.0,1.0,1.0,正確回答需17:00前申請
50,1.0,1.0,0.0,0.0,25萬>20萬應CEO，模型選錯
51,1.0,1.0,1.0,0.9,正確回答禁止公共WiFi
52,1.0,1.0,1.0,1.0,正確解釋降載
53,1.0,1.0,1.0,1.0,正確回答凍結假期
54,0.5,0.4,0.3,0.2,回答不正確
55,0.6,0.5,0.6,0.6,方向正確但不精確
56,0.7,0.6,0.7,0.5,提到80%補助但缺激勵金
57,0.4,0.3,0.5,0.5,引用條文錯誤
58,0.1,0.1,0.0,0.0,完全錯誤
59,0.7,0.7,0.7,0.8,方向正確
60,0.5,0.4,0.4,0.3,不精確
61,0.3,0.2,0.2,0.1,檢索到膳雜費而非交際費
62,0.8,0.7,0.6,0.5,25%不精確
63,0.8,0.7,0.6,0.4,過於簡化
64,1.0,1.0,1.0,1.0,正確回答副總經理核准
65,0.1,0.1,0.0,0.0,完全錯誤
66,0.4,0.3,0.4,0.3,不精確
67,1.0,1.0,0.9,0.9,正確回答不會自動調
68,0.7,0.6,0.8,0.8,方向正確
69,0.6,0.5,0.0,0.0,嚴重曲解條文
70,0.8,0.7,0.7,0.7,正確但多加無關內容
71,0.2,0.1,0.3,0.2,推理不通
72,0.6,0.6,0.8,0.7,正確結論
73,0.7,0.7,0.8,0.7,合理回應
74,1.0,1.0,0.9,0.8,正確檢索挖礦禁令
75,0.5,0.4,0.5,0.4,用高鐵推論飛機
76,0.6,0.5,0.5,0.5,方向可接受
77,0.8,0.7,0.6,0.5,錯誤聲稱標準不同
78,0.8,0.7,0.8,0.8,合理回答
79,0.3,0.2,0.4,0.3,無依據
80,0.4,0.3,0.3,0.2,錯誤回答
81,0.5,0.5,0.8,0.8,正確回答無內推獎金
82,0.8,0.8,0.9,0.9,正確回答彈性發放
83,0.4,0.4,0.8,0.8,正確回答規章未說明
84,1.0,1.0,1.0,1.0,正確回答無彈性工時
85,0.4,0.4,0.8,0.8,正確回答規章未說明
