question_id,context_precision,context_recall,faithfulness,answer_relevancy,reasoning
1,1.0,1.0,1.0,0.9,正確
2,1.0,1.0,1.0,1.0,正確
3,1.0,1.0,1.0,1.0,正確
4,1.0,1.0,1.0,0.9,正確
5,1.0,1.0,1.0,1.0,正確
6,1.0,1.0,1.0,1.0,正確
7,1.0,1.0,1.0,1.0,正確
8,1.0,1.0,1.0,1.0,正確
9,1.0,1.0,0.6,0.5,回答模糊
10,1.0,1.0,0.9,1.0,正確
11,1.0,1.0,1.0,0.8,正確但簡短
12,1.0,1.0,1.0,1.0,正確
13,0.3,0.3,0.0,0.0,回答錯誤
14,1.0,1.0,1.0,1.0,正確
15,1.0,1.0,1.0,1.0,正確
16,1.0,1.0,1.0,1.0,正確
17,0.7,0.5,0.5,0.4,未提到生理假
18,0.5,0.5,0.6,0.7,結論正確
19,1.0,1.0,1.0,1.0,正確
20,0.3,0.2,0.5,0.3,檢索錯誤
21,0.8,0.8,0.8,0.7,方向正確
22,0.7,0.7,0.5,0.3,錯判規章未說明
23,0.3,0.2,0.3,0.3,用高鐵推論飛機
24,0.5,0.5,0.6,0.5,缺滅火系統
25,1.0,1.0,0.8,0.8,正確但多加產假
26,0.2,0.1,0.0,0.0,喪假檢索失敗
27,0.1,0.1,0.0,0.0,離職預告檢索失敗
28,0.8,0.7,0.8,0.8,方向正確
29,0.5,0.4,0.5,0.4,不精確
30,0.5,0.4,0.6,0.4,部分合理
31,0.8,0.7,0.8,0.8,正確
32,0.6,0.5,0.7,0.7,方向正確
33,1.0,1.0,1.0,1.0,正確
34,1.0,1.0,1.0,0.9,正確
35,1.0,1.0,1.0,1.0,正確
36,1.0,1.0,1.0,1.0,正確
37,1.0,1.0,1.0,1.0,正確
38,0.8,0.7,0.7,0.6,缺PIP
39,1.0,1.0,1.0,1.0,正確
40,1.0,1.0,1.0,0.9,正確
41,1.0,1.0,0.9,0.8,正確但略缺
42,1.0,1.0,1.0,1.0,正確
43,1.0,1.0,1.0,1.0,正確
44,1.0,1.0,1.0,1.0,正確
45,1.0,1.0,1.0,1.0,正確
46,1.0,1.0,1.0,1.0,正確
47,1.0,1.0,0.8,0.7,未明確回答不行
48,1.0,1.0,1.0,1.0,正確
49,1.0,1.0,1.0,1.0,正確
50,1.0,1.0,0.0,0.0,25萬選錯層級
51,1.0,1.0,1.0,0.9,正確
52,1.0,1.0,1.0,1.0,正確
53,1.0,1.0,1.0,1.0,正確
54,0.5,0.4,0.3,0.2,不正確
55,0.6,0.5,0.6,0.6,方向正確
56,0.7,0.6,0.7,0.5,缺激勵金
57,0.4,0.3,0.5,0.5,引用錯誤
58,0.1,0.1,0.0,0.0,完全錯誤
59,0.7,0.7,0.7,0.8,方向正確
60,0.5,0.4,0.4,0.3,不精確
61,0.3,0.2,0.2,0.1,錯誤
62,0.8,0.7,0.6,0.5,不精確
63,0.8,0.7,0.6,0.4,簡化
64,1.0,1.0,1.0,1.0,正確
65,0.1,0.1,0.0,0.0,完全錯誤
66,0.4,0.3,0.4,0.3,不精確
67,1.0,1.0,0.9,0.9,正確
68,0.7,0.6,0.8,0.8,方向正確
69,0.6,0.5,0.0,0.0,嚴重曲解
70,0.8,0.7,0.7,0.7,正確但冗余
71,0.2,0.1,0.3,0.2,推理不通
72,0.6,0.6,0.8,0.7,正確結論
73,0.7,0.7,0.8,0.7,合理
74,1.0,1.0,0.9,0.8,正確
75,0.5,0.4,0.5,0.4,用高鐵推論飛機
76,0.6,0.5,0.5,0.5,方向可接受
77,0.8,0.7,0.6,0.5,錯誤聲稱標準不同
78,0.8,0.7,0.8,0.8,合理
79,0.3,0.2,0.4,0.3,無依據
80,0.4,0.3,0.3,0.2,錯誤
81,0.5,0.5,0.8,0.8,正確
82,0.8,0.8,0.9,0.9,正確
83,0.4,0.4,0.8,0.8,正確規章未說明
84,1.0,1.0,1.0,1.0,正確
85,0.4,0.4,0.8,0.8,正確規章未說明
86,0.4,0.3,0.8,0.8,正確規章未說明
87,0.6,0.6,0.9,0.9,正確未限制
88,0.5,0.5,0.8,0.8,正確
89,0.3,0.3,0.8,0.7,正確規章未說明
90,0.9,0.9,1.0,1.0,正確
91,0.4,0.3,0.3,0.4,規章未禁止
92,0.5,0.5,0.7,0.6,方向合理
93,0.5,0.5,0.9,0.9,正確無ESOP
94,0.4,0.4,0.8,0.7,正確
95,0.3,0.3,0.7,0.6,正確但冗余
96,0.6,0.6,0.8,0.8,正確
97,0.5,0.5,0.8,0.8,正確
98,0.8,0.8,0.9,0.9,正確
99,0.3,0.2,0.5,0.4,不相關
100,0.5,0.4,0.5,0.4,未區分職災
